feature,importance
cat__off_street_name_WESTBURY COURT                  ,0.0012596877902845366
cat__off_street_name_AVENUE X,0.0012524887362569323
cat__zip_code_10308,0.0012453209671339687
cat__on_street_name_CROSS BRONX EXTENTION,0.0012364519481461722
cat__off_street_name_73 STREET,0.0012280585778798618
cat__zip_code_10003,0.0012262500577705573
cat__zip_code_11217,0.0012247320241054298
cat__off_street_name_EAST 80 STREET,0.0012117102429569048
cat__on_street_name_35 AVENUE                       ,0.0012022262476160802
cat__off_street_name_DAHILL ROAD,0.0011971731941674327
cat__on_street_name_VICTORY BOULEVARD               ,0.0011944736758350964
cat__on_street_name_MERRICK BOULEVARD,0.001174665394747849
cat__on_street_name_CASTLE HILL AVENUE              ,0.0011704926768315073
cat__zip_code_11101,0.001169800991483213
cat__contributing_factor_vehicle_2_Failure to Yield Right-of-Way,0.0011688128558333076
cat__on_street_name_2 AVENUE                        ,0.001158479855453848
cat__off_street_name_E 169 ST,0.0011540050620762556
cat__on_street_name_QUEENS BOULEVARD,0.0011529254843576496
cat__off_street_name_STARLING AVENUE,0.001152809849256743
cat__zip_code_10314,0.0011524118070985112
cat__contributing_factor_vehicle_1_Reaction to Uninvolved Vehicle,0.001133849289722198
cat__zip_code_11106,0.0011182595757391431
cat__zip_code_10029,0.0011060488048666899
cat__zip_code_10002,0.0011058050848402976
cat__on_street_name_EAST 80 STREET,0.0011029594394591322
cat__contributing_factor_vehicle_2_Driver Inexperience,0.0010914524335893852
cat__off_street_name_PAERDEGAT 12 STREET,0.0010898105506534272
cat__zip_code_11420,0.0010875644939205174
cat__on_street_name_Grand Central Pkwy              ,0.0010859783357573258
cat__off_street_name_CANAL STREET,0.0010769975717620727
cat__on_street_name_CHRYSTIE STREET,0.0010709230278629501
cat__contributing_factor_vehicle_2_Following Too Closely,0.0010654195988245951
cat__off_street_name_ALBANY AVENUE,0.0010649618795442498
cat__off_street_name_135 AVENUE,0.00105845018179783
cat__off_street_name_AVENUE K,0.001053251758284911
cat__contributing_factor_vehicle_1_Passenger Distraction,0.0010517712900771762
cat__on_street_name_FULTON STREET                   ,0.0010403978371378284
cat__on_street_name_HYLAN BOULEVARD                 ,0.0010352203710787013
cat__off_street_name_95 STREET,0.001021985568548689
cat__off_street_name_BULOVA AVENUE                   ,0.0010150138387293637
cat__zip_code_10301,0.0010148009003848007
cat__on_street_name_KESSEL STREET                   ,0.0010137327404057819
cat__off_street_name_29 STREET,0.001013273680461731
cat__on_street_name_GRAND CENTRAL PKWY              ,0.0010032939454706364
cat__on_street_name_LEFFERTS BOULEVARD              ,0.0009994920966572176
cat__off_street_name_HUNTS POINT AVENUE              ,0.0009879380477985649
cat__on_street_name_CATON AVENUE,0.0009860357243821948
cat__zip_code_11375,0.0009850770959967763
cat__zip_code_10128,0.0009790846690812666
cat__zip_code_11225,0.0009780223537497257
cat__on_street_name_FRANKLIN AVE,0.0009769041494268101
